sentiment,importance,category,affected_tickers,original_index,publish_date
0.8,7,"['компания', 'продукт/контракты/инновации']",['PHOR'],10705,2021-10-07 11:43:44
0.5,7,"['компания', 'финансы']",['GAZP'],20498,2024-01-31 15:48:00
0.7,7,"['компания', 'дивиденды', 'финансы']",['T'],20497,2024-01-31 15:05:47
0.5,7,"['дивиденды', 'компания', 'отчётность/доходы']",['MAGN'],2859,2020-07-30 12:39:48
-0.3,7,"['компания', 'дивиденды']","['NVTK', 'VTBR', 'GAZP']",24420,2025-04-29 10:10:00
0.0,6,"['макроэкономика', 'компания']",['GAZP'],14618,2022-04-03 10:26:53
0.5,7,"['компания', 'сектор']","['GMKN', 'RUAL']",10700,2021-10-07 10:30:00
0.8,7,"['компания', 'дивиденды', 'геополитика', 'финансы']",['VTBR'],24411,2025-04-28 19:23:13
0.0,7,"['сектор', 'геополитика']",['GAZP'],14617,2022-04-03 09:59:56
-0.5,6,"['компания', 'финансы']",['MGNT'],2853,2020-07-30 11:22:28
0.5,7,"['компания', 'отчётность/доходы', 'конкуренция/рыночная доля']","['T', 'VZ']",20487,2024-01-29 19:05:41
0.8,7,"['сектор', 'финансы']",['VTBR'],10702,2021-10-07 11:10:35
0.2,6,"['финансы', 'продукт/контракты/инновации']",['VTBR'],2855,2020-07-30 11:45:00
0.8,7,"['компания', 'дивиденды', 'рейтинги/аналитика']",['T'],20486,2024-01-29 17:05:47
0.7,8,"['компания', 'финансы', 'дивиденды']",['VTBR'],14621,2022-04-04 09:00:00
0.7,7,"['компания', 'финансы']","['FIXP', 'QIWI']",14630,2022-04-04 14:45:00
1.0,8,"['компания', 'отчётность/доходы']",['MGNT'],2847,2020-07-30 10:10:38
0.5,7,"['компания', 'отчётность/доходы']",['NVTK'],2858,2020-07-30 12:20:00
0.1,6,"['макроэкономика', 'геополитика', 'сектор']",[],6769,2021-04-13 19:00:00
0.5,7,"['компания', 'финансы']",['PLZL'],10704,2021-10-07 11:41:00
0.7,6,"['компания', 'продукт/контракты/инновации']",['AFLT'],14628,2022-04-04 14:14:44
-0.3,7,"['компания', 'отчётность/доходы', 'финансы', 'дивиденды']",['SBER'],2857,2020-07-30 11:54:41
0.0,6,"['компания', 'сектор', 'конкуренция/рыночная доля', 'продукт/контракты/инновации']",['MTSS'],2849,2020-07-30 10:50:00
0.2,7,"['макроэкономика', 'сектор', 'геополитика']",['GAZP'],14623,2022-04-04 09:38:20
-0.5,8,"['макроэкономика', 'сектор', 'геополитика', 'регуляция']",['GAZP'],10706,2021-10-07 11:45:00
0.5,7,"['финансы', 'продукт/контракты/инновации']",['VTBR'],20490,2024-01-30 12:07:00
0.7,8,"['геополитика', 'сектор', 'продукт/контракты/инновации']",['GAZP'],10707,2021-10-07 11:54:26
0.0,5,"['финансы', 'события/форс-мажор']",['MOEX'],24412,2025-04-28 19:47:23
0.5,7,"['компания', 'сектор']",['GAZP'],10709,2021-10-07 13:11:13
-0.2,7,"['дивиденды', 'компания', 'отчётность/доходы']",['GAZP'],6785,2021-04-14 10:30:00
0.1,6,"['компания', 'сектор', 'отчётность/доходы']",['MAGN'],2850,2020-07-30 11:00:00
-0.5,8,"['финансы', 'судебные/регуляторные/санкции', 'компания']","['NVTK', 'GAZP', 'VTBR']",14620,2022-04-04 08:54:31
0.7,8,"['дивиденды', 'компания', 'финансы']",['VTBR'],24416,2025-04-29 09:10:27
0.5,6,"['компания', 'финансы', 'слияния/поглощения/корпоративные события']",['MTSS'],6772,2021-04-13 20:05:19
0.8,8,"['компания', 'отчётность/доходы', 'дивиденды', 'конкуренция/рыночная доля']",['MGNT'],2852,2020-07-30 11:12:00
-0.5,7,"['дивиденды', 'финансы', 'отчётность/доходы', 'менеджмент/кадровые изменения']",['VTBR'],24421,2025-04-29 10:20:00
0.8,8,"['сектор', 'отчётность/доходы', 'конкуренция/рыночная доля']","['MGNT', 'X5', 'OZON']",24413,2025-04-28 20:09:18
0.5,7,"['финансы', 'компания']",['VTBR'],20496,2024-01-31 12:24:00
0.1,7,"['компания', 'отчётность/доходы']",['GAZP'],10696,2021-10-07 09:35:00
0.5,7,"['компания', 'конкуренция/рыночная доля', 'продукт/контракты/инновации']",['T'],24414,2025-04-28 21:09:42
0.0,7,"['макроэкономика', 'отчётность/доходы', 'геополитика']",[],24423,2025-04-29 12:00:00
0.7,7,"['макроэкономика', 'геополитика', 'дивиденды', 'события/форс-мажор']","['MOEX', 'RUAL']",6782,2021-04-14 09:50:00
0.0,7,"['компания', 'дивиденды', 'отчётность/доходы', 'события/форс-мажор']","['PHOR', 'MOEX', 'MAGN']",6775,2021-04-13 21:00:40
0.0,7,"['корпорация', 'слияния/поглощения/корпоративные события']",['NL0009805522'],20492,2024-01-30 15:06:07
0.8,7,"['компания', 'отчётность/доходы']",['MAGN'],6783,2021-04-14 10:08:28
-0.5,7,"['компания', 'сектор', 'рейтинги/аналитика']",['T'],24410,2025-04-28 18:11:47
1.0,8,"['дивиденды', 'компания']",['LKOH'],20494,2024-01-31 02:04:40
0.7,8,"['сектор', 'продукт/контракты/инновации']",['AFLT'],14626,2022-04-04 11:43:01
0.5,7,"['финансы', 'продукт/контракты/инновации']",['VTBR'],10708,2021-10-07 12:08:00
0.5,7,"['отчётность/доходы', 'компания']",['GMKN'],2851,2020-07-30 11:10:00
-0.3,6,"['макроэкономика', 'геополитика', 'финансы']",['MOEX'],14622,2022-04-04 09:35:00
0.5,7,"['регуляция', 'сектор']",['GAZP'],6777,2021-04-14 09:31:20
-0.2,6,"['компания', 'регуляция', 'сектор']","['AFLT', 'VTBR', 'RUAL', 'PLZL']",6770,2021-04-13 19:15:00
0.3,7,"['дивиденды', 'компания', 'финансы']","['VTBR', 'GAZP']",24424,2025-04-29 12:10:00
-0.5,7,"['сектор', 'конкуренция/рыночная доля', 'рейтинги/аналитика']",['CHMF'],2860,2020-07-30 12:45:00
1.0,8,"['дивиденды', 'компания']",['MGNT'],2861,2020-07-30 13:03:54
0.7,8,"['дивиденды', 'компания']",['GAZP'],6786,2021-04-14 10:30:45
-0.5,7,"['сектор', 'отчётность/доходы']","['T', 'MTSS']",20489,2024-01-30 04:05:29
0.7,7,"['макроэкономика', 'геополитика', 'финансы']","['RUAL', 'VTBR']",6773,2021-04-13 20:12:44
0.7,7,"['финансы', 'сектор']",[],20491,2024-01-30 14:05:18
1.0,8,"['дивиденды', 'компания']",['ROSN'],20502,2024-02-01 02:06:03
-0.5,7,"['макроэкономика', 'геополитика', 'сектор']","['VTBR', 'MOEX']",24417,2025-04-29 09:20:00
0.7,8,"['сектор', 'компания', 'продукт/контракты/инновации']",['GAZP'],10711,2021-10-07 13:23:05
0.8,7,"['макроэкономика', 'сектор', 'финансы']","['VTBR', 'SBER']",14624,2022-04-04 10:07:55
0.7,6,"['компания', 'сектор', 'геополитика', 'продукт/контракты/инновации']",[],10698,2021-10-07 09:53:30
0.8,8,"['компания', 'сектор', 'продукт/контракты/инновации']",['LKOH'],10710,2021-10-07 13:13:07
0.2,7,"['сектор', 'аналитика']",['PHOR'],14629,2022-04-04 14:30:00
-0.6,7,"['дивиденды', 'финансы', 'компания']",['MAGN'],24426,2025-04-29 13:37:18
-0.5,8,"['регуляция', 'геополитика']",['GAZP'],14635,2022-04-04 18:25:10
0.0,6,"['события/форс-мажор', 'отчётность/доходы', 'менеджмент/кадровые изменения']",['ROSN'],10694,2021-10-06 21:02:09
0.8,7,"['макроэкономика', 'компания', 'дивиденды', 'отчётность/доходы']","['GAZP', 'SIBN', 'VTBR', 'PHOR', 'MOEX']",6784,2021-04-14 10:10:16
0.7,8,"['компания', 'сектор', 'геополитика']","['RUAL', 'VTBR', 'SBER', 'LKOH', 'ALRS', 'NLMK']",14633,2022-04-04 16:30:00
1.0,8,"['компания', 'отчётность/доходы', 'финансы']",['SBER'],10699,2021-10-07 10:03:35
0.5,7,"['макроэкономика', 'отчётность/доходы', 'сектор']",[],6778,2021-04-14 09:35:15
0.2,6,"['макроэкономика', 'сектор', 'компания', 'отчётность/доходы']","['RUAL', 'YNDX', 'MAGN', 'MAIL']",6776,2021-04-14 09:10:00
0.1,7,"['дивиденды', 'компания', 'отчётность/доходы']","['GAZP', 'VTBR']",24429,2025-04-29 15:20:00
0.7,7,"['компания', 'продукт/контракты/инновации']",['ALRS'],10713,2021-10-07 13:42:55
0.8,7,"['финансы', 'сектор']",['T'],20500,2024-01-31 21:05:55
-0.6,8,"['отчётность/доходы', 'финансы', 'компания']",['SBER'],2848,2020-07-30 10:36:30
-0.3,7,"['дивиденды', 'отчётность/доходы']",['T'],20505,2024-02-01 14:05:17
0.8,7,"['финансы', 'события/форс-мажор']",['MOEX'],24425,2025-04-29 12:55:58
0.7,8,"['компания', 'сектор', 'финансы']","['GAZP', 'RSTI']",14631,2022-04-04 15:45:00
0.0,7,"['регуляция', 'финансы']","['MTSS', 'SIBN']",20503,2024-02-01 10:47:00
0.7,8,"['дивиденды', 'компания', 'менеджмент/кадровые изменения']",['VTBR'],24430,2025-04-29 15:39:00
0.7,7,"['компания', 'отчётность/доходы', 'конкуренция/рыночная доля']",['T'],24427,2025-04-29 14:06:26
0.5,6,"['компания', 'менеджмент/кадровые изменения']","['MGNT', 'RUAL']",14637,2022-04-04 19:08:55
0.2,7,"['дивиденды', 'компания', 'отчётность/доходы', 'геополитика']","['VTBR', 'GAZP', 'SBER']",24415,2025-04-29 09:06:27
-0.5,8,"['регуляция', 'компания', 'геополитика']",['GAZP'],14634,2022-04-04 18:09:51
0.7,7,"['финансы', 'сектор']",['SBER'],10715,2021-10-07 14:32:36
-0.2,6,"['регуляция', 'судебные/регуляторные/санкции', 'компания']",[],6787,2021-04-14 10:45:00
0.8,7,"['компания', 'финансы']",['MOEX'],6790,2021-04-14 12:29:42
0.0,6,"['отчётность/доходы', 'компания']",['GMKN'],2864,2020-07-30 13:30:00
0.5,7,"['макроэкономика', 'геополитика', 'сектор']","['AFLT', 'RUAL', 'VTBR']",6774,2021-04-13 21:00:00
-0.7,8,"['сектор', 'дивиденды', 'регуляция', 'геополитика']","['CHMF', 'MAGN']",14632,2022-04-04 16:00:00
0.5,7,"['финансы', 'продукт/контракты/инновации']",['VTBR'],20504,2024-02-01 12:19:00
-0.5,7,"['компания', 'дивиденды', 'отчётность/доходы']",['MOEX'],14641,2022-04-05 09:35:00
0.2,7,"['финансы', 'макроэкономика']",['VTBR'],6789,2021-04-14 12:03:00
0.8,7,"['компания', 'дивиденды', 'рейтинги/аналитика']",['T'],20499,2024-01-31 21:05:45
-0.5,7,"['макроэкономика', 'геополитика', 'финансы']",['MOEX'],24428,2025-04-29 14:15:00
0.7,7,"['макроэкономика', 'финансы']",['MOEX'],14636,2022-04-04 18:40:05
0.1,7,"['сектор', 'компания', 'геополитика']",['GAZP'],14642,2022-04-05 10:17:26
0.0,5,"['компания', 'события/форс-мажор']",['ROSN'],10718,2021-10-07 14:50:22
0.5,7,"['регуляция', 'дивиденды', 'финансы']",['MOEX'],6791,2021-04-14 12:47:52
0.2,6,"['компания', 'сектор', 'продукт/контракты/инновации']",['GAZP'],14638,2022-04-04 19:28:56
0.7,8,"['компания', 'отчётность/доходы']",['MGNT'],2865,2020-07-30 13:40:00
-0.5,7,"['макроэкономика', 'компания', 'сектор']","['SIBN', 'GAZP']",10714,2021-10-07 14:10:00
0.8,7,"['компания', 'отчётность/доходы']",[],20509,2024-02-01 16:05:50
0.0,5,"['регуляция', 'финансы']",['MOEX'],14640,2022-04-04 22:19:13
-0.7,8,"['макроэкономика', 'сектор', 'компания']",['GAZP'],10712,2021-10-07 13:25:35
0.8,7,"['дивиденды', 'финансы']",[],20506,2024-02-01 14:05:22
0.7,8,"['отчётность/доходы', 'финансы', 'сектор']","['SBER', 'MGNT']",2845,2020-07-30 10:00:00
0.8,8,"['макроэкономика', 'финансы']","['GAZP', 'GMKN', 'SBER', 'MOEX']",10716,2021-10-07 14:36:48
0.8,8,"['компания', 'отчётность/доходы', 'сектор']",['T'],20507,2024-02-01 16:05:44
-0.2,6,"['компания', 'сектор', 'отчётность/доходы']",['MAGN'],2869,2020-07-30 15:00:00
0.0,5,"['компания', 'события/форс-мажор']",['AFLT'],2863,2020-07-30 13:17:52
-0.3,7,"['компания', 'отчётность/доходы']",['NVTK'],2862,2020-07-30 13:10:00
0.7,8,"['компания', 'отчётность/доходы']",['GMKN'],2866,2020-07-30 14:10:00
0.7,8,"['компания', 'отчётность/доходы', 'финансы']",['SBER'],2871,2020-07-30 16:15:00
-0.7,7,"['компания', 'сектор']",['AFLT'],2867,2020-07-30 14:30:00
-0.7,8,"['компания', 'регуляция', 'судебные/регуляторные/санкции']",['MOEX'],6788,2021-04-14 11:35:00
0.5,7,"['компания', 'отчётность/доходы']",['T'],20501,2024-02-01 02:05:24
-0.5,7,"['компания', 'отчётность/доходы', 'дивиденды']",['MAGN'],2870,2020-07-30 15:35:00
0.7,8,"['компания', 'дивиденды', 'финансы', 'аналитика']",['MTSS'],2868,2020-07-30 14:40:00
-0.3,7,"['макроэкономика', 'геополитика']",[],24431,2025-04-29 16:42:00
0.8,7,"['компания', 'сектор', 'продукт/контракты/инновации']",['GMKN'],6794,2021-04-14 13:18:05
0.7,8,"['компания', 'дивиденды', 'отчётность/доходы']",['GAZP'],6792,2021-04-14 13:00:00
0.5,7,"['компания', 'продукт/контракты/инновации']",['RIVN'],20513,2024-02-01 19:05:41
0.7,8,"['финансы', 'регуляция']",['SBER'],14645,2022-04-05 11:32:23
0.0,7,"['события/форс-мажор', 'дивиденды', 'отчётность/доходы', 'менеджмент/кадровые изменения']",['MOEX'],14639,2022-04-04 21:01:49
0.5,8,"['геополитика', 'сектор']",['GAZP'],10717,2021-10-07 14:44:25
0.7,8,"['компания', 'отчётность/доходы', 'дивиденды']",['SBER'],2872,2020-07-30 17:30:00
0.7,8,"['дивиденды', 'компания', 'отчётность/доходы']",['GAZP'],6793,2021-04-14 13:15:00
0.2,7,"['дивиденды', 'компания', 'геополитика']",['GAZP'],6798,2021-04-14 15:00:00
-0.5,8,"['регуляция', 'компания']",['MAGN'],10720,2021-10-07 15:08:12
0.5,8,"['отчётность/доходы', 'финансы', 'конкуренция/рыночная доля']",['MOEX'],14644,2022-04-05 10:40:00
0.8,7,"['сектор', 'финансы', 'продукт/контракты/инновации']",['MOEX'],6796,2021-04-14 13:36:00
0.5,7,"['компания', 'финансы']",['GMKN'],24434,2025-04-29 18:07:00
0.8,8,"['геополитика', 'сектор', 'дивиденды']",['GAZP'],6795,2021-04-14 13:30:00
-0.6,7,"['геополитика', 'отчётность/доходы', 'дивиденды']","['MAGN', 'MGNT', 'MOEX']",24435,2025-04-29 19:11:00
0.5,7,"['компания', 'сектор']",['GAZP'],14643,2022-04-05 10:34:04
0.5,7,"['компания', 'дивиденды', 'отчётность/доходы']",['T'],20508,2024-02-01 16:05:47
-0.2,7,"['компания', 'анализ']",['ROSN'],6797,2021-04-14 14:45:00
0.3,7,"['компания', 'конкуренция/рыночная доля', 'продукт/контракты/инновации']",['PHOR'],10721,2021-10-07 15:30:00
0.5,7,"['компания', 'финансы']","['T', 'SCHW']",20515,2024-02-01 22:05:26
0.7,8,"['компания', 'продукт/контракты/инновации']",['GAZP'],10719,2021-10-07 15:04:05
0.8,8,"['дивиденды', 'компания', 'финансы']",['VTBR'],24433,2025-04-29 17:40:46
0.8,7,"['компания', 'отчётность/доходы', 'рейтинги/аналитика']",['T'],24432,2025-04-29 17:10:44
0.5,8,"['дивиденды', 'финансы', 'компания']",['SBER'],2873,2020-07-30 17:47:32
-0.7,8,"['компания', 'отчётность/доходы', 'конкуренция/рыночная доля']",['MGNT'],24438,2025-04-30 09:20:00
0.8,7,"['компания', 'продукт/контракты/инновации']",['GAZP'],10723,2021-10-07 16:01:02
0.5,7,"['компания', 'финансы']",['RUAL'],20511,2024-02-01 18:39:00
0.8,7,"['компания', 'финансы']",['ALRS'],24441,2025-04-30 10:11:00
0.8,7,"['компания', 'отчётность/доходы', 'конкуренция/рыночная доля']",[],20514,2024-02-01 20:05:57
0.8,8,"['компания', 'продукт/контракты/инновации']",['RUAL'],6801,2021-04-14 15:39:07
0.0,6,"['отчётность/доходы', 'компания']",['GMKN'],2875,2020-07-31 09:40:00
0.7,7,"['компания', 'отчётность/доходы']",['T'],20510,2024-02-01 18:05:30
0.7,8,"['судебные/регуляторные/санкции', 'компания']",['ROSN'],10724,2021-10-07 16:27:54
0.8,8,"['финансы', 'продукт/контракты/инновации']",['MOEX'],2874,2020-07-30 19:54:03
0.7,7,"['компания', 'продукт/контракты/инновации']","['GAZP', 'SIBN']",10722,2021-10-07 15:57:00
-0.5,7,"['макроэкономика', 'сектор', 'события/форс-мажор']","['SIBN', 'ROSН']",2876,2020-07-31 09:50:00
0.8,8,"['компания', 'отчётность/доходы', 'финансы']",['MAGN'],6803,2021-04-14 15:45:00
0.0,7,"['финансы', 'сектор', 'регуляция']",['VTBR'],14652,2022-04-05 12:31:07
0.0,7,"['компания', 'слияния/поглощения/корпоративные события']",[],20512,2024-02-01 18:40:42
0.5,7,"['компания', 'финансы', 'дивиденды']",['CHMF'],14650,2022-04-05 12:04:00
0.7,7,"['компания', 'продукт/контракты/инновации']",[],14649,2022-04-05 12:03:18
-0.5,8,"['компания', 'регуляция', 'санкции']",['ALRS'],14647,2022-04-05 11:46:00
-0.7,8,"['макроэкономика', 'геополитика', 'отчётность/доходы']","['MGNT', 'NVTK']",24436,2025-04-29 19:31:22
0.5,7,"['компания', 'слияния/поглощения/корпоративные события']",['T'],20517,2024-02-02 02:11:58
-0.7,8,"['компания', 'регуляция', 'геополитика']","['GAZP', 'ROSН']",14648,2022-04-05 11:57:06
-0.5,8,"['компания', 'дивиденды', 'отчётность/доходы']","['GAZP', 'VTBR']",24439,2025-04-30 09:30:00
-0.8,8,"['сектор', 'геополитика', 'финансы']","['SPBE', 'PIKK']",14646,2022-04-05 11:45:00
0.5,7,"['компания', 'сектор', 'дивиденды']","['GMKN', 'GAZP', 'SIBN']",10725,2021-10-07 16:30:00
0.7,8,"['дивиденды', 'компания', 'отчётность/доходы']",['GAZP'],6799,2021-04-14 15:20:32
0.8,8,"['дивиденды', 'компания']",['PHOR'],6800,2021-04-14 15:25:40
-0.5,7,"['макроэкономика', 'геополитика', 'дивиденды', 'отчётность/доходы']","['GAZP', 'MOEX']",24437,2025-04-30 09:10:00
-0.5,7,"['компания', 'дивиденды', 'менеджмент/кадровые изменения']","['GMKN', 'RUAL']",2883,2020-07-31 13:15:00
0.8,7,"['компания', 'сектор', 'слияния/поглощения/корпоративные события']",['LKOH'],10728,2021-10-07 17:59:06
0.8,8,"['дивиденды', 'компания', 'отчётность/доходы']",['GAZP'],6804,2021-04-14 15:52:16
0.5,7,"['компания', 'инновации', 'конкуренция/рыночная доля']",['SBER'],10727,2021-10-07 17:44:58
0.7,8,"['геополитика', 'дивиденды', 'компания', 'сектор']","['GAZP', 'PHOR', 'MAGN']",6805,2021-04-14 17:00:00
0.8,8,"['дивиденды', 'компания']",['MTSS'],2884,2020-07-31 13:45:23
0.5,7,"['компания', 'дивиденды', 'отчётность/доходы']",['MGNT'],2879,2020-07-31 11:30:00
0.5,7,"['финансы', 'регуляция']",['SBER'],14651,2022-04-05 12:04:01
0.8,8,"['компания', 'отчётность/доходы', 'конкуренция/рыночная доля']",['MGNT'],2880,2020-07-31 12:15:00
-0.6,7,"['сектор', 'конкуренция/рыночная доля']",['MAGN'],24443,2025-04-30 11:10:00
0.5,7,"['компания', 'отчётность/доходы', 'дивиденды']",['SBER'],2877,2020-07-31 10:30:00
0.7,8,"['компания', 'отчётность/доходы']",['AFLT'],24451,2025-04-30 15:36:58
0.0,5,"['компания', 'корпоративные события']",['VTBR'],14655,2022-04-05 13:58:11
0.7,8,"['компания', 'отчётность/доходы', 'дивиденды']",['SBER'],2878,2020-07-31 11:20:00
0.5,7,"['макроэкономика', 'компания', 'отчётность/доходы']",[],24446,2025-04-30 12:10:00
0.5,7,"['слияния/поглощения/корпоративные события', 'конкуренция/рыночная доля']",['SBER'],2887,2020-07-31 14:37:05
0.5,7,"['финансы', 'продукт/контракты/инновации']",[],24450,2025-04-30 15:10:54
-0.5,7,"['сектор', 'компания', 'конкуренция/рыночная доля']","['MGNT', 'MAGN']",14656,2022-04-05 14:00:00
0.5,7,"['дивиденды', 'компания', 'отчётность/доходы']",['LKOH'],6806,2021-04-14 17:17:57
0.8,8,"['дивиденды', 'компания']",['CHMF'],20520,2024-02-03 02:06:16
0.5,7,"['компания', 'сектор', 'продукт/контракты/инновации']",['ROSN'],6811,2021-04-14 21:01:41
0.5,7,"['компания', 'финансы']",['ALRS'],24449,2025-04-30 14:49:00
0.3,7,"['компания', 'слияния/поглощения/корпоративные события', 'конкуренция/рыночная доля']",['MGNT'],24447,2025-04-30 13:12:00
0.7,7,"['отчётность/доходы', 'компания']","['MGNT', 'X5']",2885,2020-07-31 14:30:00
0.6,7,"['компания', 'дивиденды', 'отчётность/доходы']",['MOEX'],14653,2022-04-05 13:00:00
0.5,8,"['компания', 'дивиденды', 'отчётность/доходы', 'сектор']",['CHMF'],20519,2024-02-02 15:40:00
0.5,7,"['финансы', 'продукт/контракты/инновации']",['VTBR'],20518,2024-02-02 12:11:00
0.7,6,"['компания', 'продукт/контракты/инновации']",['ALRS'],6812,2021-04-15 09:37:26
0.5,7,"['компания', 'сектор', 'слияния/поглощения/корпоративные события', 'рейтинги/аналитика']",['SBER'],2888,2020-07-31 15:00:00
1.0,8,"['дивиденды', 'компания']",['SIBN'],2889,2020-07-31 15:59:47
-0.7,7,"['макроэкономика', 'геополитика', 'финансы']",['MOEX'],24448,2025-04-30 14:08:31
0.5,7,"['макроэкономика', 'регуляция', 'сектор']",['GAZP'],14660,2022-04-05 15:19:41
-0.7,8,"['компания', 'менеджмент/кадровые изменения', 'регуляция']",['GAZP'],14662,2022-04-05 17:44:47
0.5,7,"['компания', 'регуляция']","['GAZP', 'SIBN']",14654,2022-04-05 13:54:06
0.3,7,"['отчётность/доходы', 'финансы', 'компания']",['SBER'],2882,2020-07-31 12:45:00
0.8,8,"['компания', 'отчётность/доходы', 'дивиденды']",['GAZP'],24454,2025-04-30 16:45:00
0.8,8,"['компания', 'отчётность/доходы']",['GAZP'],24452,2025-04-30 15:53:19
-0.5,7,"['регуляция', 'конкуренция/рыночная доля', 'судебные/регуляторные/санкции']",['SBER'],6802,2021-04-14 15:39:19
0.5,7,"['финансы', 'компания']",['VTBR'],24445,2025-04-30 12:01:00
0.2,6,"['финансы', 'продукт/контракты/инновации']",['VTBR'],2881,2020-07-31 12:17:00
0.0,5,"['компания', 'менеджмент/кадровые изменения', 'события/форс-мажор']",['MTSS'],6813,2021-04-15 09:55:00
0.7,8,"['сектор', 'конкуренция/рыночная доля']",['MGNT'],2891,2020-07-31 17:17:45
0.1,6,"['регуляция', 'компания', 'конкуренция/рыночная доля']",['YNDX'],6807,2021-04-14 17:20:00
0.5,7,"['сектор', 'компания', 'отчётность/доходы']","['SBER', 'VTBR', 'MTSS']",14658,2022-04-05 14:15:00
-0.2,6,"['компания', 'сектор', 'отчётность/доходы']",['MAGN'],6815,2021-04-15 10:20:00
0.5,7,"['компания', 'слияния/поглощения/корпоративные события']",['MGNT'],24444,2025-04-30 11:28:00
0.5,7,"['компания', 'сектор', 'события/форс-мажор']",['AFLT'],2894,2020-07-31 20:46:42
0.7,7,"['компания', 'отчётность/доходы', 'конкуренция/рыночная доля']",['T'],20516,2024-02-02 02:05:26
0.5,8,"['компания', 'отчётность/доходы', 'дивиденды']",['GAZP'],24453,2025-04-30 16:24:33
0.8,8,"['сектор', 'конкуренция/рыночная доля', 'рейтинги/аналитика']","['GAZP', 'MGNT']",2886,2020-07-31 14:31:15
-0.8,9,"['регуляция', 'геополитика', 'санкции']",['VTBR'],14661,2022-04-05 16:15:54
-0.8,8,"['макроэкономика', 'сектор', 'геополитика', 'рейтинги/аналитика']","['CHMF', 'GMKN']",14659,2022-04-05 14:35:51
0.2,6,"['события/форс-мажор', 'менеджмент/кадровые изменения', 'отчётность/доходы']","['GMKN', 'MTSS']",6810,2021-04-14 21:00:07
-0.5,7,"['компания', 'финансы', 'регуляция']",['VTBR'],14667,2022-04-05 20:54:14
-0.5,7,"['дивиденды', 'отчётность/доходы', 'финансы']",['VTBR'],24442,2025-04-30 10:20:00
-0.8,9,"['регуляция', 'геополитика', 'санкции']",['VTBR'],14657,2022-04-05 14:10:28
-0.5,8,"['макроэкономика', 'геополитика', 'регуляция']",['RUAL'],6817,2021-04-15 10:58:53
0.8,8,"['компания', 'сектор']",['GAZP'],6823,2021-04-15 13:14:52
0.7,8,"['регуляция', 'сектор']",[],2893,2020-07-31 18:55:35
0.8,7,"['компания', 'продукт/контракты/инновации']",['MGNT'],6814,2021-04-15 10:07:05
0.8,7,"['компания', 'отчётность/доходы', 'рейтинги/аналитика']",['T'],24456,2025-04-30 17:10:07
-0.7,8,"['регуляция', 'сектор']",['GAZP'],14668,2022-04-05 21:07:19
0.8,8,"['компания', 'отчётность/доходы', 'дивиденды', 'геополитика']",['GAZP'],24455,2025-04-30 17:07:35
0.2,6,"['финансы', 'продукт/контракты/инновации']",['VTBR'],6819,2021-04-15 12:00:00
0.7,8,"['компания', 'дивиденды', 'отчётность/доходы']",['GAZP'],6821,2021-04-15 12:30:00
